ELECCIÓN DE GOBERNADOR DEL ESTADO DE MÉXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2017 13:00 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_FUERA_DE_CATÁLOGO,ACTAS_REGISTRADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18606,0,18173,18173,97.6727,17772,97.7934,2.2065,401,52.4964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_estado,estado,id_distrito_local,distrito_local,seccion,id_casilla,tipo_casilla,extraordinariacontigua,ubicacion_casilla,tipo_de_acta,boletas_sobrantes,total_ciudadanos_votaron,num_boletas_extraidas,pan,pri,prd,pt,pvem,na,morena,pes,c_pri_pvem_na_pes,c_pri_pvem_na,c_pri_pvem_pes,c_pri_na_pes,c_pri_pvem,c_pri_na,c_pri_pes,c_pvem_na_pes,c_pvem_na,c_pvem_pes,c_na_pes,cand_ind_1,no_registrados,nulos,total_votos,lista_nominal,observaciones,contabilizada,mecanismo_de_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_registro
15,Estado de México,22,ECATEPEC DE MORELOS,1650,1,B,0,1,2,280,240,240,9,58,46,1,2,6,102,1,0,0,0,0,1,0,0,0,0,0,0,4,0,10,240,502,,1,DAT,7020bf7eda9e52d32086cb12a55d6f84cc8bdfc2a13bbe1a5d1470c691126ef9,04/06/2017 19:46,04/06/2017 19:52,04/06/2017 19:56
15,Estado de México,18,TLALNEPANTLA DE BAZ,4951,1,B,0,1,2,249,180,182,39,51,22,1,1,1,55,4,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,2,1,3,182,413,,1,DAT,46eca553fb60c069fbeed93fb91ab36382bda6f6816e86ffe5939ffd07d61951,04/06/2017 19:48,04/06/2017 19:52,04/06/2017 19:54
15,Estado de México,8,ECATEPEC DE MORELOS,6482,1,S,0,1,3,12,756,756,62,183,118,5,8,28,310,2,2,0,0,0,0,0,0,0,0,0,0,20,2,16,756,0,,1,DAT,faef11c916dad332c3a830b175458b1d34c538812ca77a1d2300f2737a752226,04/06/2017 19:49,04/06/2017 19:52,04/06/2017 19:59
15,Estado de México,24,NEZAHUALCOYOTL,3275,1,B,0,1,2,215,186,186,4,45,104,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,186,384,,1,DAT,914d3a7356d06e2509988b413817afe4861c917c2dd239db84f936265640c59a,04/06/2017 19:48,04/06/2017 19:53,04/06/2017 19:54
15,Estado de México,30,NAUCALPAN DE JUAREZ,2689,1,B,0,1,2,254,220,222,46,64,26,1,SIN DATO,SIN DATO,70,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,4,0,10,222,456,,1,DAT,9fbad283c22cbcbf586934f1f8d775e974f63413bdf38f0ad8d212ecbf2a4463,04/06/2017 19:47,04/06/2017 19:53,04/06/2017 19:55
15,Estado de México,30,NAUCALPAN DE JUAREZ,2875,1,C,0,1,2,0,177,181,28,63,17,2,1,0,54,3,0,0,0,0,0,0,0,0,0,0,0,9,0,4,181,427,,1,DAT,e735b677fcad00ce35d2dfcbcfd7c759eedd51aaf7e6d0b7d4600f640c54b2eb,04/06/2017 19:51,04/06/2017 19:53,04/06/2017 19:59
15,Estado de México,23,TEXCOCO DE MORA,4642,1,B,0,1,2,248,82,89,3,4,5,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89,319,,1,DAT,1a3a1f2d95b3477fd04d412db0795942e03a3f8f5bc4e89ac52eb534292b09e2,04/06/2017 19:48,04/06/2017 19:53,04/06/2017 19:54
15,Estado de México,35,METEPEC,2483,1,C,0,1,2,133,309,311,41,71,77,5,4,1,96,0,0,0,0,0,2,0,0,0,0,0,0,7,1,6,311,426,,1,DAT,96ef91ce116a5286ceb05cabec7f4264436b554b5b7cde72456267977a9f05e3,04/06/2017 19:44,04/06/2017 19:53,04/06/2017 19:57
15,Estado de México,30,NAUCALPAN DE JUAREZ,2883,1,B,0,1,2,235,238,238,47,83,16,4,0,6,67,3,0,0,0,0,1,0,0,0,0,0,0,4,1,6,238,456,,1,DAT,f3929f3edd85fa04a18ed5d90e64e477e15005c3a1a33f785887ee2796431130,04/06/2017 19:51,04/06/2017 19:54,04/06/2017 19:56
15,Estado de México,33,TECAMAC DE FELIPE VILLANUEVA,4213,1,E,2,2,2,266,386,391,42,153,40,3,SIN DATO,2,122,3,1,SIN DATO,1,SIN DATO,1,SIN DATO,1,SIN DATO,SIN DATO,SIN DATO,SIN DATO,7,0,15,391,636,,1,DAT,06e7cd44143a450b7030988e239d118d80d4896e787bf81141155cbe14408c31,04/06/2017 19:46,04/06/2017 19:54,04/06/2017 19:58
